ツイートID,ツイート本文
1640211880450084864,RT @act31hiroki: いや、バレるてwww
1640203950325477376,"RT @Bug1978: 以前、作成したEXCELのテーブル（ListObject）を数式お残して初期化する関数です。

ClearTable(Sheet1, ""テーブル1"")

使い方はこんな感じに、テーブルのあるワークシートと、テーブル名をパラメータにしてコールしてください…"
1640202684379828224,"RT @UuGESZJ40BfKVSP: 私は
・セルB2に数式を入れる
・B2をコピーしてB3〜B11までコピペする
って構造にしてた…(°▽°;)"
1640198218838581248,@sugoi_kaizen 吉田先生のセミナーを受けてもらっていれば…ッ
1640198063385108481,"@aero_iki さすがのご指摘です！！
良い記事は本当に、変えた設定を戻すとか細かいのですよね～"
1640198037632077824,RT @sugoi_kaizen: なので「初期化が大事」「一旦既存データは消す」のが大事とうちのVBAセミナーでは何度も繰り返します。
1640197850373160961,"RT @aero_iki: 配列を一括でシート上に出力する処理とかが最たる例かな。
「配列を一括でシート上に出力する」のタイトルで書かれた記事がいくらかあるけど、初期化について言及されていない記事は実務を知らないニワカなので注意。"
1640197736971763713,RT @Pythonist19: 「このプロンプト、表現変えてみたら」に変わるだけじゃ
1640197721381548032,@icedblack2 わたしも出だしは「ドュフフ」なので、こうはならないです！笑
1640197560731308034,"@blanknote そっち！？
その発想はありませんでした…笑"
1640194430421401600,"#ExcelVBA のセルに関数を入れるのに
Formula使ってA1形式で書くと参照セルが変わってくれるのを知った時、ずっとFormulaR1C1使ってR1C1形式で書いてたので、損した気分になりました
（図の例だと、全部セルA2参照になると思ってました） https://t.co/u4wNmOzlwG"
1640185345932423169,データをシートに一旦書き出して処理するマクロで、一旦書き出すシートのデータ削除の処理が入ってなくて、前回処理した件数が今回処理する件数より多い時に、末尾に前回のデータが入り込む欠陥を発見しました
1640182287332696064,@TAKAMAN02345158 日本の車は壊れないので…（違う）
1640177999227265024,@takeshi741 正直、割れるだろうとは思っています…笑
1640168495311896576,@yakku_BTC その視点が抜けていましたね…笑
1640168394648604672,@juke_sympho なるほど、たしかに…
1640161789093769216,ChatGPTが奪う光景 https://t.co/wSleeA8eHa
1640160682590236672,RT @kuroneblog: サンバルカン🤣🤣🤣
1640130293972762624,@igz0 うおおおおおおお！おめでとうございます！！！
1640107859827625986,"2.2万フォローありがとうございます

HLOOKUPちゃん、横検索カニ歩き
#関数ちゃん https://t.co/IIfLQCurUH"
1639968121053417472,"@mechkawa そんなに良いですか！
観に行きたくなりました！"
1639945056739266561,RT @Tsutsui0524: 齋藤の「齋」の中身がサンバルカンでもバレない説 https://t.co/Q67w824FeB
1639941214366732288,@CR318tsuru 間が埋まって良いですよね
1639926763785695235,@ticktackworker 厳しいのを頼みます！！
1639922796334813185,"@nitoukinnosuke うらやまー！
美味しそうです！！"
1639922489857036290,"@YUExcelMARU おおお！！
関数ちゃんはアクスタ向きのイラスト多いので是非やりたいですね！
教えてくださってありがとうございます！"
1639915593263648769,"WEB会議の謎
「こちらの資料をご覧ください…ヨイショ！」"
1639892079546613761,"子供が英語の恐竜の動画を見てるので「英語だけどいいの？」と聞いたら「恐竜の鳴き声は一緒だからいい」とのこと
そういうものなのか…"
1639890053660020743,"@4qMTHtdVh0UcB2b 関数との出会いが色々変えてくれることありますよね
私も先人には感謝しています！"
1639889799330017280,RT @4qMTHtdVh0UcB2b: 文字列操作関数の存在を知った2008年。解決できないと思った問題が、一気に解決。パワハラ案件を跳ね除けられたのだ。これを教えてくれた方は、他界してしまった。今でも感謝している。#Excel#文字列操作関数#left関数
1639888120358506496,"@kazu_shindo カズヒコーキさん、ありがとうございます！
6章でいったん締める構成だったので、力を入れたところでした！
刺さって良かったです！！"
1639887726253334528,"レビューたくさん頂けて嬉しいです
ありがとうございます！ https://t.co/nzcPpmU4we"
1639887506329182209,@yosatonet あー、このコマンド！！
1639860367252918274,@TETRA_IT 黙って矢文
1639859255535898626,"@37nfZ9bQuPMQJnA これです！

https://t.co/1YbS66XW5X"
1639859034835783682,"良いこと言ったつもりのところが刺さってくれて良かったです！！
やったー！ https://t.co/Vn2nJt31zV"
1639859011507073024,RT @nackie_u: トムヤムクン噴いたwww
1639857826930765825,"@37nfZ9bQuPMQJnA 私はボケてで知ったんですよね
幅！高さ！奥行き！
だったような"
1639829777560522752,齋藤の「齋」の中身がサンバルカンでもバレない説 https://t.co/Q67w824FeB
1639801591837368321,"=LEFT(""たいやき"",2)
↓
たい

LEFTちゃんは、たいやきを頭から食べるタイプ
#関数ちゃん

LEFTちゃん紹介記事
https://t.co/j8IaI8GCs9 https://t.co/Zh4eRvp5sJ"
1639682078433509376,"@KotorinChunChun そういうお話は頂いてないですね〜！
アピールしないと！"
1639680479799693315,"@DemodoriGatsuo おめでとうございます！！
ガツオさん、半端ない！！"
1639674505890238464,"趣味でExcel関数を擬人化したキャラクター（#関数ちゃん ）を描いています！

#三億アカウントの中から私を発掘してください https://t.co/b66I8O8Fsa"
1639672186884751360,@sasetsu_HG めちゃくちゃ可愛いです！！
1639655930156711936,"RT @Tsutsui0524: ヒーローがマントを羽織るのは！

キュアスカイのデザイン、とても素晴らしいと思うのです
#プリキュア
#precure https://t.co/cGOYJGfyIO"
1639655854902501377,"RT @Tsutsui0524: Excelのセルに入力するとプリキュア放送までの時間を表示してくれる数式
わえなび先生考案(@waenavi_jp)

=MOD(65/48-NOW(),7)

セルの表示形式は[h]:mmに設定しましょう！

#Excel
#プリキュア #p…"
1639655705019060224,@Skillup_VBA おめでとうございます！
1639649417627156481,"@9pw95IlW6KsWoGa ばんばんさん、ありがとうございます！
最寄りの本屋さんに置かれていますように…！
応援励みになります！"
1639608717313445888,@KotorinChunChun ほんとQRコード優秀すぎて笑
1639600695115649024,@satovba7 レアな仕訳に戦慄が走ります笑
1639600517835022337,@TaniponVBA これはどこがポイントなんですか？
1639599692333072385,RT @audrey_10_6: 上下反対でそのまま送ってくる人の神経がわからん
1639584748103417856,"RT @tommie_tommie_a: OCR処理したら自動的に回転します。

うまく読めた場合に限りますが。"
1639572185567367171,@TETRA_IT これはガリ！
1639565782014369792,"@ObonneF ボンヌさん、ありがとうございます！
私自身、関数を知らなかったために不要な列を作ったり、変に組み合わせたりしていたので、知ることのハードルを下げたいという思いでした！"
1639564981619535873,@haine_2020other モニター倒して物理ですか笑
1639564675544408064,"RT @ObonneF: 仕事でexcel使うけどあまり知識がなくて、とっつきやすそうな本がきたぞ！！と購入。パッとすぐには使えないんだけど(私が引数を文字だけでは理解できないので)SUMIFちゃんのことを思い出して昨日から助けてもらってる。とてもたすかる。
https://t…"
1639557986782793730,スキャンしたPDFは読める向きに直す！！ https://t.co/ZZnIBaUfRB
